T_error,i_term,T_set,dT_err,p_term,l_on,Temperature,d_term,time,pidVal,Start=2018-03-26 12:56
-24.813,0.0,55.0,0.0,0.0,True,30.187,0.0,0.0,0.0
-24.75,-0.0,55.0,0.006299999999999884,24.75,True,30.25,-0.6299999999999883,10.0,24.12000000000001
-24.688,-0.0,55.0,0.006200000000000117,24.688,True,30.312,-0.6200000000000117,20.0,24.067999999999987
-24.625,-0.0,55.0,0.006299999999999884,24.625,True,30.375,-0.6299999999999883,30.0,23.99500000000001
-24.5,-0.0,55.0,0.0125,24.5,True,30.5,-1.25,40.0,23.25
-24.438,-0.0,55.0,0.006200000000000117,24.438,True,30.562,-0.6200000000000117,50.0,23.817999999999987
-24.313,-0.0,55.0,0.0125,24.313,True,30.687,-1.25,60.0,23.063
-24.25,-0.0,55.0,0.006299999999999884,24.25,True,30.75,-0.6299999999999883,70.0,23.62000000000001
-24.188,-0.0,55.0,0.006200000000000117,24.188,True,30.812,-0.6200000000000117,80.0,23.567999999999987
-24.125,-0.0,55.0,0.006299999999999884,24.125,True,30.875,-0.6299999999999883,90.0,23.49500000000001
-24.063,-0.0,55.0,0.006200000000000117,24.063,True,30.937,-0.6200000000000117,100.0,23.442999999999987
-23.938,-0.0,55.0,0.0125,23.938,True,31.062,-1.25,110.0,22.688
